source_file,page,ramo,tipo_cobertura,poliza_no,certificado_no,inicio_vigencia,fin_vigencia,asegurado,propietario,nit,direccion,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,forma_pago,moneda,ocr_ok
1943853451941.pdf,8,Automóvil,ertura: Todo Riesgo,,,,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANKREGE,,,,,,,,,QUETZALES,True
1943853451941.pdf,9,,,,431,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANKREGE,,3,,,,,,,,True
1943853451941.pdf,10,Automóvi,,,432,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","INDUSTRIAS LACTEAS, SA Iimeessmsmcocio |ramajeroela |",,,,,,,,,,,SiC,,QUETZALES,True
1943853451941.pdf,11,Automóvi,,,433,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",MUSTRASLACTEAS SA [tinee:smuoocio [pasajeros: |,,KILOMETRO 25.5 CARRETERA A El SALVADOR -SIN ZONA/COMUNIDAD F RALJANES-GUATEMALA-GUATEMALA Color: SiC,,,,,,,,,SiC,,queres O,True
1943853451941.pdf,12,Automóvil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,,,,,,,,,BLANCO PERLA DOLOMITE,,QUETZALES,False
1943853451941.pdf,13,Automóvi,,,435,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS OE CENTROMMERCA Socioao|tinesc me pasalerossa |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,QUETZALES,True
1943853451941.pdf,14,Automóvi,ertura: Todo Riesgo,AUTO - 371708,436,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS 0€ cEnTRomERIcA Socenao|meacme > [Panajerosia |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,15,Automóvi,ertura: Todo Riesgo,AUTO - 371708,437,,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD! Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD lime ranejarossa |",,,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,16,Automóvi,,,438,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONMA 10.GUATEMALA- GUATEMALA. GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,,,True
1943853451941.pdf,17,Atomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",PRODUCTOS LACTEOS DE cenrmoauec Socuoao|tmeecme [pasajeros] |,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,tSUZU,JAANPR71HR7101021,,,,,,,BLANCO,,QUETZALES,True
1943853451941.pdf,18,Auomovi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS OE CENTROMMERICA, SocienaD|tameac me [pasajerosca |",,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2024,,,,BLANCO,EFECTIVO,,False
1943853451941.pdf,19,Automovil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",PROQUCTOS LACTEOS DE CENIROAMERICA Socinan|tameecme > penajerossa |,,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,,,False
1943853451941.pdf,20,Artomóvi,,,442,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD) Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,EFECTIVO,,True
1943853451941.pdf,21,Automóvi,,,443,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,,ISUZU,JAANPR71HR7101051,,,2024,,,,BLANCO,,QUETZALES,True
1943853451942.pdf,1,,,,465,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehiculo",PRODUCTOS LACTEOS DE CENTROmMERCA SocioaD|tineec me [Pasajeros |,,3 AVENIDA 13-78 -ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,2,Automóvwi,,,466,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD limas Pasajeros: 3",,3 AVENIDA 13-78 .ZONA 10-GUATEMALA-GUATEMALA. GUATEMALA Color: BLANCO,ISUZU,JAANPR71HS7100048,,3,2025,CAMION,,oVmv132,BLANCO,EFECTIVO,QUETZALES,True
1943853451942.pdf,3,Automóvi,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD Descripción del Vehículo",,,3 AVENIDA 13-78 -ZONA 10.GUATEMALA GUATEMALA. GUATEMALA Color: BLANCO,,,,,2025,,,,BLANCO,EFECTIVO,,False
1943853451942.pdf,4,Automóvi,,,468,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -Z2ONA 10.GUATEMALA.GUATEMALA. GUATEMALA Color: BLANCO,,,,,,,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,5,Automóvi,,,469,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -2ONA 10-GUATEMALA-.GUATEMALA- GUATEMALA Color: ROJO,INTERNATIONAL,3HSOZAPR8JN598375,,,2019,,,,ROJO,,,True
1943853451942.pdf,6,Aitomówi,,,470,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,3 AVENIDA 13-78 -Z2ONA 10.GUATEMALA-.GUATEMALA- GUATEMALA Color: ROJO,INTERNATIONAL,3MSOZAPR1IN598377,,,2018,,,,ROJO,,QUETZALES,True
